Provider,product,Price,CPU_RAM_price,Storage_price,licensed_OS_price,internal_egress_price,external_egress_price,internal_egress,external_egress,CPU,RAM,STORAGE,Regional_redundancy,Autoscaling,Payment_option,Term_Length,Instance_Type,Disk_type,OS,Region
Amazon,RH12,0.30566,0.161,0.01041,0,0.0109589,0.1233,400,1000,4,16,300,yes,horizontal,no upfront,1 Year commitment,On Demand,Standard,Linux,US
Amazon,RH13,2.94536,0.4692,0.01041,0,0.1369863,2.3288,5000,20000,8,16,300,yes,horizontal,no upfront,No commitment,On Demand,Standard,Linux,US
Amazon,RH14,2.79816,0.322,0.01041,0,0.1369863,2.3288,5000,20000,8,32,300,yes,horizontal,partially upfront,1 Year commitment,On Demand,Standard,Linux,US
Amazon,RH15,2.67272,1.2862,0.01666,0,0.1369863,1.2329,5000,10000,12,48,500,yes,horizontal,no upfront,No commitment,On Demand,Standard,Linux,US
Amazon,RH16,2.60272,0.806,0.0159,0,0.1369863,1.6438,5000,10000,12,48,500,yes,horizontal,All upfront,1 Year commitment,On Demand,Standard,Linux,Asia
Amazon,RH19,4.11824,1.4996,0.0159,0,0.2739726,2.3288,10000,20000,32,64,500,yes,horizontal,no upfront,No commitment,On Demand,Standard,Linux,Asia
Amazon,RH20,4.51502,0.732,0.0159,0,0.2739726,3.4932,10000,30000,32,128,500,yes,horizontal,All upfront,3 Year commitment,On Demand,Standard,Linux,Asia
Amazon,RH22,0.30446,0.2776,0.0159,0,0.0109589,0,400,600,4,16,500,yes,horizontal,no upfront,No commitment,On Demand,Standard,Linux,Asia
Amazon,RH23,0.18086,0.154,0.0159,0,0.0109589,0,400,600,4,16,500,yes,horizontal,no upfront,3 Year commitment,On Demand,Standard,Linux,Asia
Amazon,RH31,5.49702,1.714,0.0159,0,0.2739726,3.4932,10000,30000,32,128,500,yes,horizontal,no upfront,No commitment,On Demand,Standard,Linux,Asia
Amazon,RH32,4.92102,1.138,0.0159,0,0.2739726,3.4932,10000,30000,32,128,500,yes,horizontal,no upfront,1 Year commitment,On Demand,Standard,Linux,Asia
Amazon,RH33,4.87302,1.09,0.0159,0,0.2739726,3.4932,10000,30000,32,128,500,yes,horizontal,partially upfront,1 Year commitment,On Demand,Standard,Linux,Asia
Amazon,RH34,4.85402,1.071,0.0159,0,0.2739726,3.4932,10000,30000,32,128,500,yes,horizontal,All upfront,1 Year commitment,On Demand,Standard,Linux,Asia
Amazon,RH35,4.60402,0.821,0.0159,0,0.2739726,3.4932,10000,30000,32,128,500,yes,horizontal,no upfront,3 Year commitment,On Demand,Standard,Linux,Asia
Amazon,RH36,4.55302,0.77,0.0159,0,0.2739726,3.4932,10000,30000,32,128,500,yes,horizontal,partially upfront,3 Year commitment,On Demand,Standard,Linux,Asia
Amazon,RH37,5.59302,1.81,0.0159,0,0.2739726,3.4932,10000,30000,32,128,500,yes,horizontal,no upfront,No commitment,Dedicated,Standard,Linux,Asia
Amazon,RH38,6.93979,0.828,0.0159,0,0.2739726,5.8219,10000,50000,32,128,500,yes,horizontal,All upfront,3 Year commitment,Dedicated,Standard,Linux,Asia
Amazon,RH39,6.97779,0.866,0.0159,0,0.2739726,5.8219,10000,50000,32,128,500,yes,horizontal,partially upfront,3 Year commitment,Dedicated,Standard,Linux,Asia
Amazon,RH40,7.02879,0.917,0.0159,0,0.2739726,5.8219,10000,50000,32,128,500,yes,horizontal,no upfront,3 Year commitment,Dedicated,Standard,Linux,Asia
Amazon,RH41,7.34579,1.234,0.0159,0,0.2739726,5.8219,10000,50000,32,128,500,yes,horizontal,no upfront,1 Year commitment,Dedicated,Standard,Linux,Asia
Amazon,RH42,7.29779,1.186,0.0159,0,0.2739726,5.8219,10000,50000,32,128,500,yes,horizontal,partially upfront,1 Year commitment,Dedicated,Standard,Linux,Asia
Amazon,RH43,7.27879,1.167,0.0159,0,0.2739726,5.8219,10000,50000,32,128,500,yes,horizontal,All upfront,1 Year commitment,Dedicated,Standard,Linux,Asia
Amazon,RH44,0.22386,0.197,0.0159,0,0.0109589,0,400,600,4,16,500,yes,horizontal,no upfront,1 Year commitment,On Demand,Standard,Linux,Asia
Amazon,RH45,0.21786,0.191,0.0159,0,0.0109589,0,400,600,4,16,500,yes,horizontal,partially upfront,1 Year commitment,On Demand,Standard,Linux,Asia
Amazon,RH46,0.21486,0.188,0.0159,0,0.0109589,0,400,600,4,16,500,yes,horizontal,All upfront,1 Year commitment,On Demand,Standard,Linux,Asia
Amazon,RH47,0.66701,0.147,0.0159,0,0.0109589,0.4932,400,3000,4,16,500,yes,horizontal,partially upfront,3 Year commitment,On Demand,Standard,Linux,Asia
Amazon,RH48,0.66201,0.142,0.0159,0,0.0109589,0.4932,400,3000,4,16,500,yes,horizontal,All upfront,3 Year commitment,On Demand,Standard,Linux,Asia
Amazon,RH49,0.68975,0.167,0.0159,0,0.0136986,0.4932,500,3000,4,16,500,yes,horizontal,no upfront,3 Year commitment,Dedicated,Standard,Linux,Asia
Amazon,RH50,0.81455,0.2918,0.0159,0,0.0136986,0.4932,500,3000,4,16,500,yes,horizontal,no upfront,No commitment,Dedicated,Standard,Linux,Asia
Amazon,RH51,0.73275,0.21,0.0159,0,0.0136986,0.4932,500,3000,4,16,500,yes,horizontal,no upfront,1 Year commitment,Dedicated,Standard,Linux,Asia
Amazon,RH52,0.72675,0.204,0.0159,0,0.0136986,0.4932,500,3000,4,16,500,yes,horizontal,partially upfront,1 Year commitment,Dedicated,Standard,Linux,Asia
Amazon,RH53,0.72375,0.201,0.0159,0,0.0136986,0.4932,500,3000,4,16,500,yes,horizontal,All upfront,1 Year commitment,Dedicated,Standard,Linux,Asia
Amazon,RH54,0.67775,0.155,0.0159,0,0.0136986,0.4932,500,3000,4,16,500,yes,horizontal,All upfront,3 Year commitment,Dedicated,Standard,Linux,Asia
Amazon,RH55,0.68275,0.16,0.0159,0,0.0136986,0.4932,500,3000,4,16,500,yes,horizontal,partially upfront,3 Year commitment,Dedicated,Standard,Linux,Asia
Amazon,RH56,0.0865,0.0768,0.0097,0,0,0,30,300,2,8,300,no,horizontal,no upfront,No commitment,On Demand,Standard,free,Europe
Amazon,RH57,0.0577,0.048,0.0097,0,0,0,30,300,2,8,300,no,horizontal,no upfront,1 Year commitment,On Demand,Standard,free,Europe
Amazon,RH58,0.0557,0.046,0.0097,0,0,0,30,300,2,8,300,no,horizontal,partially upfront,1 Year commitment,On Demand,Standard,free,Europe
Amazon,RH59,0.0547,0.045,0.0097,0,0,0,400,300,2,8,300,no,horizontal,All upfront,1 Year commitment,On Demand,Standard,free,Europe
Amazon,RH60,0.0427,0.033,0.0097,0,0,0,400,300,2,8,300,no,horizontal,no upfront,3 Year commitment,On Demand,Standard,free,Europe
Amazon,RH61,0.0407,0.031,0.0097,0,0,0,400,300,2,8,300,no,horizontal,partially upfront,3 Year commitment,On Demand,Standard,free,Europe
Amazon,RH62,0.0387,0.029,0.0097,0,0,0,400,300,2,8,300,no,horizontal,All upfront,3 Year commitment,On Demand,Standard,free,Europe
Amazon,RH63,0.06346,0.05376,0.0097,0,0,0,400,300,2,8,300,no,horizontal,no upfront,No commitment,Spot,Standard,free,Europe
Amazon,RH64,0.1333,0.1236,0.0097,0,0,0,400,600,2,8,300,no,horizontal,no upfront,No commitment,On Demand,Standard,Windows,Europe
Amazon,RH65,0.09622,0.08652,0.0097,0,0,0,400,600,2,8,300,no,horizontal,no upfront,No commitment,Spot,Standard,Windows,Europe
Amazon,RH66,0.11925,0.088,0.03125,0,0,0,400,600,2,8,1000,no,horizontal,no upfront,1 Year commitment,On Demand,Standard,Windows,Europe
Amazon,RH67,0.11625,0.085,0.03125,0,0,0,400,600,2,8,1000,no,horizontal,partially upfront,1 Year commitment,On Demand,Standard,Windows,Europe
Amazon,RH68,0.11525,0.084,0.03125,0,0,0,500,600,2,8,1000,no,horizontal,All upfront,1 Year commitment,On Demand,Standard,Windows,Europe
Amazon,RH69,0.10025,0.069,0.03125,0,0,0,500,600,2,8,1000,no,horizontal,no upfront,3 Year commitment,On Demand,Standard,Windows,Europe
Amazon,RH70,0.09725,0.066,0.03125,0,0,0,500,600,2,8,1000,no,horizontal,partially upfront,3 Year commitment,On Demand,Standard,Windows,Europe
